anime_id,Name,Genres,prediction
31746,Dochamon Junior,Comedy,1
31747,Oshiri Kajiri Mushi (TV) 4th Season,Comedy,0
"(Source: ANN)\"",TV,Finished Airing,0
31749,Chou Kidougai-ku: Kashiwa-no-Ha,UNKNOWN,0
The year is 2018. Kashiwa City,Chiba Prefecture,their tower apartment has become a giant robot. The family is stunned. What the heck is happening in this town? What secret is hidden in this town?,0
(Source: Official YouTube channel,"edited)\"",UNKNOWN,0
31750,TV-ban Pokemon Special Masara Town-hen Recaps,"Action, Adventure, Comedy, Fantasy",0
"(Source: AniDB)\"",OVA,Finished Airing,0
31753,Ganbare! Lulu Lolo 3rd Season,Slice of Life,1
"(Source: ANN)\"",TV,Finished Airing,0
31754,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,"Comedy, Sports",0
31756,Owari no Seraph: The Beginning of the End,"Action, Drama, Supernatural",0
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural",1
Unbeknownst to Araragi,"each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?\"",UNKNOWN,0
31758,Kizumonogatari III: Reiketsu-hen,"Action, Mystery, Supernatural",1
Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However,now that Araragi has almost accomplished what he’s been fighting for this whole time,,0
But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters,how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?,,0
Araragi is at his limit but he must come to a decision,"and it may not be possible to resolve this situation without doing something he’ll regret…\"",UNKNOWN,0
31759,Hakubutsushi,Avant Garde,0
31760,Tsuru Shitae Waka Kan,UNKNOWN,0
"Yamamura try to decipher this \"\"Anthology with Cranes\"\" and the intent of Sotatsu Tawaraya",finished in experimental work and interpret it as animation.,,0
"(Source: Yamamura Animation)\"",Movie,Finished Airing,0
31761,Sayokyoku,"Avant Garde, Comedy",0
31762,King of Prism by Pretty Rhythm,UNKNOWN,1
"(Source: ANN)\"",Movie,Finished Airing,0
31763,Accel World: Infinite∞Burst,"Action, Romance, Sci-Fi",1
During a territorial battle with their legion,Nega Nebulus,"Nega Nebulus must recruit the other legions to find the source of the issue and restore the acceleration ability.\"",0
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,"Action, Adventure, Fantasy",1
However,after a rogue storm sinks their vessel,has been taken hostage. The five are able to rescue her,0
31765,Sword Art Online Movie: Ordinal Scale,"Action, Adventure, Fantasy",1
Following the new craze,Kirito's friends dive into the game,Movie,0
31769,Kojiki: Hyuuga-hen,UNKNOWN,0
31771,Amanchu!,"Comedy, Slice of Life",1
Struggling to adapt to the change of pace in her life,Futaba finds herself strung along by Hikari's vast energy and passion for diving. Together,TV,0
31772,One Punch Man Specials,"Action, Comedy",0
31777,Neko nanka Yondemo Konai.,Slice of Life,0
"(Source: Livechart)\"",TV,Finished Airing,0
31780,Kimi no Kokoro wa Kagayaiteru kai?,UNKNOWN,0
31783,Yowamushi Pedal: New Generation,Sports,0
With the team's combined strength,the Sohoku High bicycle racing club beat reigning champions Hakone Academy at the Interhigh national race and achieved an impressive overall victory. Now that their hot summer has ended and third-years Kinjou,Imaizumi Shunsuke,0
"(Source: Crunchyroll)\"",TV,Finished Airing,0
31785,Hakuouki: Shinkai - Kaze no Shou,"Action, Drama, Romance, Supernatural",0
31788,Ero Manga! H mo Manga mo Step-up♪,Hentai,0
31789,Oni Chichi: Vacation,Hentai,0
However,as it soon turns out,"but there is one activity that will keep them warm for sure.\"",0
31790,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,"Comedy, Sci-Fi",0
Sent in by the government as an undercover agent with special instructions from the higher-ups,Asami Kazari is Unit Eight's newest member. Determined to straighten out what she expects to be a group of incompetent fools,TV,0
31793,Mahou Shoujo Nante Mou Ii desu kara.,Comedy,1
Miton,on the other hand,so Miton has been out of work for a while. Starving and homeless,0
As Yuzuka walks past him one day,Miton seizes the opportunity to offer his services to the young girl. Yuzuka reluctantly agrees,12.0,0
31797,"\"Ore ga Ojousama Gakkou ni \"\"Shomin Sample\"\" Toshite Gets♥Sareta Ken Specials\"","Comedy, Romance, Ecchi",0
31798,Kiznaiver,"Drama, Romance, Sci-Fi",1
However,one day Katsuhira,the Kiznaivers must expose their true selves to each other,0
31804,Kuma Miko,"Comedy, Slice of Life",1
