anime_id,Name,Genres,prediction
6774,Kuuchuu Buranko,Drama,0
Patients should be wary of the seductive Mayumi,with her spellbinding looks and devilishly short pink nurse uniform. On the other hand,Dr. Irabu often tries to gain something from them outside of his profession—and in doing so,0
As each patient struggles to face the nature of their distress,"an obvious yet invisible thread ties their paths together.\"",fall 2009,0
6777,Densha Kamo Shirenai,UNKNOWN,0
6779,Pokonyan!,"Comedy, Fantasy",0
Rocky is quite innocent and unaware of the value of his special powers. He has the ability to turn children's fantasies into realities. The sky is the limit in the adventures he can create!,,,0
Our story begins when Amy (Miki),a spirited young girl,,0
Amy is active and curious,yet she has a tendency to become frustrated and fed-up with the world around her. With Rocky's arrival,,0
"Through \"\"thick and thin\"\" Rocky and Amy become quite a pair and develop a long lasting friendship","experiencing a wide assortment of fun-filled escapades.\"",spring 1993,0
6783,ef: A Tale of Memories. - Recollections,"Drama, Mystery, Romance",0
"(Source: Animeka)\"",Special,Finished Airing,0
6787,Goulart Knights: Evoked the Beginning Black,"Action, Drama, Fantasy, Supernatural",1
6791,Kanokon: Manatsu no Dai Shanikusai,"Romance, Ecchi",1
"(Source: Media Blasters)\"",OVA,Finished Airing,0
6792,Kidou Senshi SD Gundam Mk-V,"Action, Comedy, Sci-Fi",1
"(Source: ANN)\"",OVA,Finished Airing,0
6793,"Kuroshitsuji: Sono Shitsuji, Kougyou","Comedy, Supernatural",1
But with a haphazard ensemble of amateur actors—including Ciel,his fiancée Elizabeth Midford,1.0,0
6794,Kurokami: Tora to Tsubasa,Action,1
6795,Genius Party Beyond,"Avant Garde, Fantasy, Sci-Fi",0
From the directors and artists of works such as Samurai Champloo,Neon Genesis Evangelion,Movie,0
6796,Kyuukyoku Choujin R,"Comedy, Sci-Fi",0
"(Source: Wikipedia)\"",OVA,Finished Airing,0
6797,Docchi ni Suru?,Comedy,0
In the story of this animated film,a series of events which need judgements,,0
"(Source: Yamamura Animation)\"",Movie,Finished Airing,0
6798,Saa Ikou! Tamagotchi,UNKNOWN,0
6800,Transformers: Scramble City,"Action, Sci-Fi",0
When the Decepticons learn of this,their combiner robots are deployed to attack,,0
"(Source: Wikipedia)\"",OVA,Finished Airing,0
6802,So Ra No Wo To,"Sci-Fi, Slice of Life",1
It is under these circumstances that the 1121st platoon of the Helvetian army,stationed at the Clocktower Fortress in Seize,who happens to be a skilled trumpeter. Working alongside them are the aloof mechanic,0
6809,Toshi Densetsu Monogatari Hikiko,Horror,1
When Revsersing Hikiko's full name 森妃姫子(Mori Hikiko) gives 引き籠もり(hikikomori),"which means Social Withdrawal.\"",UNKNOWN,0
6811,InuYasha: Kanketsu-hen,"Action, Adventure, Fantasy, Romance",1
The persistent,unyielding danger posed by Naraku forces Sango and Miroku to decide what is most important to them—each other or their duty in battle. Meanwhile,"as it is a battle they must win in order to put a stop to his evil and cruelty once and for all.\"",0
6822,Ukkari Pénélope (2009),"Comedy, Slice of Life",0
6823,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,Fantasy,0
6827,Suzume no Oyado,Fantasy,0
6828,Ohi-sama to Kaeru,Comedy,0
6829,Izakaya no Ichiya,Action,1
"(Source: Digital Meme website)\"",Movie,Finished Airing,0
6830,Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki,Action,0
6831,Hinomaru Hatanosuke: Bakemonoyashiki no Maki,Supernatural,0
6832,Shoujouji no Tanuki-bayashi Ban Danemon,Supernatural,1
"(Source: AniDB)\"",Movie,Finished Airing,0
6833,Ninjutsu Hinotama Kozou: Edo no Maki,Action,0
6834,Taa-chan no Kaitei Ryokou,Adventure,2
6835,Umi no Mizu wa Naze Karai,UNKNOWN,1
"(Source: Digital Meme)\"",Movie,Finished Airing,0
6836,Issunboushi: Chibisuke Monogatari,Action,1
"(Source: Digital Meme)\"",Movie,Finished Airing,0
6837,Tengu Taiji,Comedy,2
6838,Dekobou no Jidousha Ryokou,Adventure,0
6839,Hinomaru Tarou: Musha Shugyou no Maki,Action,0
6840,Maabou no Daikyousou,"Comedy, Sports",0
6841,Maabou no Kinoshita Toukichirou,UNKNOWN,0
6842,Oyoge ya Oyoge,Sports,1
"(Source: Digital Meme)\"",Movie,Finished Airing,0
6843,Kangaroo no Tanjoubi,Adventure,0
6844,Osaru no Sankichi: Boukuusen,UNKNOWN,0
6846,Kuma ni Kuwarenu Otoko,Adventure,0
6847,Gulliver Funtouki,Adventure,0
6848,Doubutsu Mura no Daisodou,Action,1
"(Source: Digital Meme)\"",Movie,Finished Airing,0
6849,Bouken Dankichi: Hyouryuu no Maki,Adventure,0
6850,Norakuro Shoui: Nichiyoubi no Kaijiken,Action,0
6851,Kaitei no Boukun,Adventure,0
6855,Da Nao Tiangong,Adventure,1
Angered by Wukong's casual theft of his most precious treasure,the Dragon King goes to the Jade Emperor's palace in Heaven to demand retribution. The Jade Emperor hatches a plan to control the devilish monkey—however,1964,0
6856,Aoi Chou,UNKNOWN,0
6857,Momotarou no Umiwashi,UNKNOWN,0
6861,Shui Naodai,"Avant Garde, Fantasy, Sci-Fi",1
6862,K-On!: Live House!,Comedy,1
Performing in the set gives the girls the rare opportunity to meet various people from different bands,including the one that invited them,"Jan 19, 2010",0
6864,xxxHOLiC Rou,"Mystery, Supernatural",1
Eventually,Watanuki receives a visit from Doumeki's grandfather,OVA,0
6867,Halo Legends,"Action, Drama, Sci-Fi",0
